"OUTDOOR" "SOCIAL" "CONSERVATIVE" "JOB" "JID"
"190" 20 15 7 3 12
"191" 24 20 13 3 13
"192" 16 16 17 3 14
"193" 17 15 10 3 15
"194" 17 10 12 3 16
"195" 11 16 11 3 17
"196" 15 18 14 3 18
"197" 20 19 16 3 19
"198" 14 22 16 3 20
"199" 13 15 18 3 21
"200" 16 14 13 3 22
"201" 12 12 6 3 23
"202" 17 17 19 3 24
"203" 10 8 16 3 25
"204" 11 17 20 3 26
"205" 13 16 7 3 27
"206" 19 15 13 3 28
"207" 15 11 13 3 29
"208" 17 11 10 3 30
"209" 15 10 13 3 31
"210" 19 14 12 3 32
"211" 19 14 15 3 33
"212" 4 12 11 3 34
"213" 13 12 15 3 35
"214" 20 13 19 3 36
"215" 14 18 14 3 37
"216" 10 12 9 3 38
"217" 11 12 19 3 39
"218" 8 20 8 3 40
"219" 14 16 7 3 41
"220" 18 20 15 3 42
"221" 19 7 13 3 43
"222" 21 13 11 3 44
"223" 14 26 15 3 45
"224" 25 16 12 3 46
"225" 18 11 19 3 47
"226" 14 16 6 3 48
"227" 13 20 18 3 49
"228" 20 16 14 3 50
"229" 12 14 8 3 51
"230" 16 19 12 3 52
"231" 21 15 7 3 53
"232" 18 23 15 3 54
"233" 19 11 13 3 55
"234" 17 18 9 3 56
"235" 4 10 15 3 57
"236" 17 17 14 3 58
"237" 14 13 12 3 59
"238" 15 16 14 3 60
"239" 20 13 18 3 61
"240" 20 14 18 3 62
"241" 16 22 12 3 63
"242" 9 13 16 3 64
"243" 15 13 13 3 65
"244" 18 20 10 3 66
