Date,Season,Year,Weekend,Weather,Temperature,Humidity,Windspeed,Casual
17/05/2011,Spring,2011,1,2,19,0.837917,19,678
20/05/2011,Spring,2011,1,1,19,0.719583,8,909
26/05/2011,Spring,2011,1,1,21,0.6775,13,758
31/05/2011,Spring,2011,1,1,22,0.636667,7,673
6/06/2011,Spring,2011,1,1,21,0.6,8,673
7/06/2011,Spring,2011,1,1,21,0.597917,13,763
13/06/2011,Spring,2011,1,1,20,0.494583,20,863
18/06/2011,Spring,2011,0,1,21,0.670417,8,1807
25/06/2011,Summer,2011,0,1,21,0.483333,14,1782
26/06/2011,Summer,2011,0,1,21,0.513333,6,1920
1/07/2011,Summer,2011,1,1,21,0.39625,7,1246
3/07/2011,Summer,2011,0,2,21,0.6825,15,2282
5/07/2011,Summer,2011,1,1,21,0.590417,8,1031
17/07/2011,Summer,2011,0,1,21,0.604167,16,2006
18/07/2011,Summer,2011,1,1,21,0.65125,14,841
21/07/2011,Summer,2011,1,2,22,0.69125,15,632
28/07/2011,Summer,2011,1,1,22,0.583333,12,606
4/08/2011,Summer,2011,1,2,21,0.7575,13,799
7/08/2011,Summer,2011,0,1,21,0.752917,13,1298
8/08/2011,Summer,2011,1,1,21,0.592083,13,846
10/08/2011,Summer,2011,1,1,21,0.424167,13,884
12/08/2011,Summer,2011,1,1,21,0.415,8,1051
13/08/2011,Summer,2011,0,2,21,0.729583,14,1504
15/08/2011,Summer,2011,1,1,20,0.712083,14,775
16/08/2011,Summer,2011,1,1,21,0.578333,16,721
19/08/2011,Summer,2011,1,2,21,0.722917,9,797
20/08/2011,Summer,2011,0,1,21,0.674167,7,1914
24/08/2011,Summer,2011,1,1,20,0.605,17,949
27/08/2011,Summer,2011,0,2,21,0.85,25,226
30/08/2011,Summer,2011,1,1,20,0.548333,8,775
5/09/2011,Summer,2011,0,2,20,0.790417,14,1236
7/09/2011,Summer,2011,1,3,20,0.917083,7,118
19/09/2011,Summer,2011,1,2,19,0.69,10,691
21/09/2011,Summer,2011,1,2,20,0.9,6,539
23/09/2011,Autumn,2011,1,2,20,0.9725,5,258
2/10/2011,Autumn,2011,0,2,16,0.791667,15,616
3/10/2011,Autumn,2011,1,2,17,0.760833,6,330
6/10/2011,Autumn,2011,1,1,18,0.620833,9,639
10/10/2011,Autumn,2011,0,1,19,0.73375,3,1514
11/10/2011,Autumn,2011,1,2,19,0.80875,10,667
14/10/2011,Autumn,2011,1,2,19,0.71625,15,529
15/10/2011,Autumn,2011,0,1,18,0.483333,17,1899
17/10/2011,Autumn,2011,1,1,19,0.579583,12,713
22/10/2011,Autumn,2011,0,1,17,0.629167,6,1499
26/10/2011,Autumn,2011,1,2,18,0.720417,10,404
28/10/2011,Autumn,2011,1,2,16,0.585833,15,456
3/11/2011,Autumn,2011,1,1,17,0.702083,9,318
4/11/2011,Autumn,2011,1,2,17,0.6225,18,470
9/11/2011,Autumn,2011,1,1,17,0.758333,4,305
11/11/2011,Autumn,2011,0,1,16,0.44625,21,440
12/11/2011,Autumn,2011,0,1,16,0.552917,14,1275
20/11/2011,Autumn,2011,0,2,18,0.684583,12,787
21/11/2011,Autumn,2011,1,3,18,0.91,9,220
27/11/2011,Autumn,2011,0,1,18,0.698333,14,810
30/11/2011,Autumn,2011,1,1,16,0.613333,18,188
5/12/2011,Autumn,2011,1,2,17,0.827083,4,233
9/12/2011,Autumn,2011,1,1,15,0.695833,6,261
11/12/2011,Autumn,2011,0,1,14,0.49,4,377
16/12/2011,Autumn,2011,1,2,16,0.500417,17,178
21/12/2011,Winter,2011,1,2,17,0.858333,15,107
25/12/2011,Winter,2011,0,1,15,0.681304,10,303
27/12/2011,Winter,2011,1,2,16,0.7625,13,103
28/12/2011,Winter,2011,1,1,15,0.503913,20,255
2/01/2012,Winter,2012,0,1,15,0.381304,22,244
3/01/2012,Winter,2012,1,1,12,0.44125,24,89
4/01/2012,Winter,2012,1,2,11,0.414583,12,95
12/01/2012,Winter,2012,1,2,17,0.802917,12,269
17/01/2012,Winter,2012,1,2,16,0.716087,23,127
19/01/2012,Winter,2012,1,1,13,0.4975,15,130
22/01/2012,Winter,2012,0,2,12,0.79625,13,196
24/01/2012,Winter,2012,1,1,16,0.835833,8,439
2/02/2012,Winter,2012,1,2,17,0.672917,13,190
6/02/2012,Winter,2012,1,1,15,0.622174,10,206
8/02/2012,Winter,2012,1,2,14,0.722917,9,109
10/02/2012,Winter,2012,1,2,15,0.54,8,227
17/02/2012,Winter,2012,1,1,16,0.634583,14,349
18/02/2012,Winter,2012,0,1,16,0.534583,13,1435
19/02/2012,Winter,2012,0,2,15,0.515833,17,618
22/02/2012,Winter,2012,1,1,17,0.567917,16,394
23/02/2012,Winter,2012,1,1,18,0.554583,13,516
2/03/2012,Winter,2012,1,2,16,0.657083,10,246
11/03/2012,Winter,2012,0,1,16,0.476957,15,1658
12/03/2012,Winter,2012,1,1,18,0.489167,14,838
17/03/2012,Winter,2012,0,2,19,0.755833,7,3155
21/03/2012,Spring,2012,1,2,19,0.82125,6,1122
22/03/2012,Spring,2012,1,1,19,0.83125,8,1334
26/03/2012,Spring,2012,1,1,18,0.477917,26,795
27/03/2012,Spring,2012,1,1,16,0.29,13,531
29/03/2012,Spring,2012,1,1,18,0.439167,21,834
1/04/2012,Spring,2012,0,2,17,0.67625,12,2347
7/04/2012,Spring,2012,0,1,17,0.254167,18,3252
8/04/2012,Spring,2012,0,1,18,0.275833,16,2230
11/04/2012,Spring,2012,1,1,16,0.469565,20,482
12/04/2012,Spring,2012,1,1,17,0.46625,19,663
13/04/2012,Spring,2012,1,1,18,0.408333,10,1252
14/04/2012,Spring,2012,0,1,18,0.502917,13,2795
15/04/2012,Spring,2012,0,1,20,0.507917,15,2846
16/04/2012,Spring,2012,0,1,20,0.561667,19,1198
19/04/2012,Spring,2012,1,1,18,0.6125,4,846
21/04/2012,Spring,2012,0,1,19,0.682917,19,2541
23/04/2012,Spring,2012,1,2,16,0.766667,20,195
30/04/2012,Spring,2012,1,2,18,0.57,11,665
2/05/2012,Spring,2012,1,1,19,0.797083,9,667
4/05/2012,Spring,2012,1,1,20,0.735417,11,1069
8/05/2012,Spring,2012,1,2,19,0.685833,20,738
14/05/2012,Spring,2012,1,2,19,0.789583,14,342
21/05/2012,Spring,2012,1,2,20,0.81125,16,630
26/05/2012,Spring,2012,0,1,21,0.7325,13,2855
3/06/2012,Spring,2012,0,1,20,0.493333,12,2494
5/06/2012,Spring,2012,1,2,19,0.613333,14,968
8/06/2012,Spring,2012,1,1,20,0.467917,12,1488
24/06/2012,Summer,2012,0,1,21,0.479167,10,2551
25/06/2012,Summer,2012,1,1,21,0.504167,20,1139
26/06/2012,Summer,2012,1,1,20,0.373333,23,1077
30/06/2012,Summer,2012,0,1,21,0.60125,11,1455
3/07/2012,Summer,2012,1,1,22,0.492083,8,1052
7/07/2012,Summer,2012,0,1,22,0.492083,11,1448
8/07/2012,Summer,2012,0,1,22,0.57375,8,1203
13/07/2012,Summer,2012,1,2,21,0.485833,5,1511
15/07/2012,Summer,2012,0,1,21,0.717917,11,1920
17/07/2012,Summer,2012,1,1,22,0.505833,8,921
19/07/2012,Summer,2012,1,1,21,0.600417,11,888
23/07/2012,Summer,2012,1,1,21,0.694167,9,1135
25/07/2012,Summer,2012,1,1,21,0.45,11,1383
27/07/2012,Summer,2012,1,1,22,0.594583,10,1259
29/07/2012,Summer,2012,0,1,21,0.62375,11,2153
3/08/2012,Summer,2012,1,2,21,0.6425,14,1328
6/08/2012,Summer,2012,1,2,21,0.654167,9,1233
9/08/2012,Summer,2012,1,1,21,0.620417,10,1196
10/08/2012,Summer,2012,1,2,21,0.715833,16,1065
12/08/2012,Summer,2012,0,1,21,0.530417,8,2182
14/08/2012,Summer,2012,1,1,21,0.686667,11,1128
17/08/2012,Summer,2012,1,1,21,0.570833,16,1483
19/08/2012,Summer,2012,0,2,20,0.711667,6,1208
21/08/2012,Summer,2012,1,1,20,0.67375,5,1081
30/08/2012,Summer,2012,1,1,21,0.590417,5,1172
7/09/2012,Summer,2012,1,1,21,0.73625,12,1045
9/09/2012,Summer,2012,0,1,20,0.5475,15,2570
13/09/2012,Summer,2012,1,1,20,0.637083,6,1054
16/09/2012,Summer,2012,0,1,19,0.57,6,2166
19/09/2012,Summer,2012,1,1,19,0.536667,14,788
9/10/2012,Autumn,2012,1,2,18,0.761667,13,601
11/10/2012,Autumn,2012,1,1,17,0.463333,12,834
14/10/2012,Autumn,2012,0,1,19,0.640417,19,2080
16/10/2012,Autumn,2012,1,1,18,0.558333,12,922
17/10/2012,Autumn,2012,1,1,18,0.692917,7,979
19/10/2012,Autumn,2012,1,2,19,0.815,9,753
29/10/2012,Autumn,2012,1,3,17,0.88,24,2
31/10/2012,Autumn,2012,1,2,16,0.666667,11,419
3/11/2012,Autumn,2012,0,2,16,0.49125,18,1029
4/11/2012,Autumn,2012,0,1,16,0.532917,12,1201
5/11/2012,Autumn,2012,1,1,16,0.494167,16,378
6/11/2012,Autumn,2012,1,1,15,0.567083,12,466
9/11/2012,Autumn,2012,1,1,16,0.540833,14,709
10/11/2012,Autumn,2012,0,1,17,0.645417,4,2090
13/11/2012,Autumn,2012,1,2,16,0.662917,23,327
16/11/2012,Autumn,2012,1,1,16,0.524583,11,484
20/11/2012,Autumn,2012,1,2,16,0.685,6,534
21/11/2012,Autumn,2012,1,1,16,0.61375,7,615
3/12/2012,Autumn,2012,1,1,18,0.7675,6,555
4/12/2012,Autumn,2012,1,1,18,0.73375,12,551
7/12/2012,Autumn,2012,1,2,16,0.764167,9,349
10/12/2012,Autumn,2012,1,2,17,0.925,13,329
24/12/2012,Winter,2012,1,2,14,0.791304,5,174
31/12/2012,Winter,2012,1,2,14,0.5775,10,439
