LATITUDE	LONGITUDE	DEPTHFT	ARSENIC
23.8002	90.6219	60	46
23.7996	90.6234	75	27
23.7995	90.6234	75	24
23.7994	90.6234	75	24
23.7823	90.6367	70	114
23.7894	90.6324	45	201
23.7886	90.6356	60	265
23.7892	90.6366	45	287
23.7891	90.6371	70	229
23.7889	90.6372	60	195
23.7838	90.6292	75	28
23.7833	90.6295	37	15
23.7831	90.6295	45	25
23.7833	90.6298	52	144
23.7837	90.6297	50	14
23.778	90.6312	36	27
23.7761	90.6326	40	229
23.7799	90.6307	35	61
23.7754	90.6354	45	269
23.7753	90.6357	60	241
23.7749	90.636	90	544
23.7757	90.6298	45	36
23.772	90.6296	40	18
23.7716	90.6297	60	5
23.7717	90.6296	45	25
23.7716	90.6296	55	109
23.7714	90.6295	45	28
23.7693	90.6247	50	17
23.7694	90.6246	46	51
23.7689	90.6217	45	65
23.7641	90.6195	45	39
23.7547	90.6121	200	1
23.7549	90.6121	160	231
23.7547	90.612	60	225
23.755	90.6123	50	36
23.7552	90.6121	80	89
23.7556	90.6114	50	99
23.7559	90.6115	35	126
23.7559	90.6112	50	154
23.7556	90.6109	60	128
23.7559	90.6106	45	129
23.788	90.6188	45	153
23.7881	90.6188	45	142
23.7878	90.6191	50	201
23.7878	90.619	60	156
23.7897	90.6264	50	202
23.7901	90.626	50	92
23.7901	90.6259	50	81
23.7907	90.6259	50	42
23.7908	90.6265	55	114
23.7907	90.6268	60	216
23.7904	90.6268	50	150
23.7799	90.6276	45	140
23.7797	90.6274	75	129
23.7797	90.6272	45	73
23.7798	90.627	45	1
23.7797	90.6269	45	48
23.7927	90.6226	45	55
23.7927	90.6233	110	98
23.7926	90.6233	72	43
23.7926	90.6236	52	20
23.759	90.6164	25	28
23.7588	90.6159	25	75
23.7595	90.6158	45	59
23.7597	90.6162	70	34
23.7597	90.6155	80	77
23.7619	90.616	45	21
23.7621	90.6152	45	3
23.7624	90.6153	45	38
23.7622	90.6155	55	125
23.7619	90.6164	60	125
23.7908	90.6057	120	1
23.7908	90.6056	120	1
23.7909	90.6057	140	1
23.791	90.6058	125	1
23.7907	90.6061	120	1
23.7917	90.6068	155	1
23.7919	90.6068	140	1
23.7917	90.6064	175	1
23.7922	90.607	140	1
23.792	90.6071	140	1
23.8008	90.6063	115	1
23.8006	90.6058	105	2
23.8008	90.606	105	1
23.8003	90.6059	105	1
23.8003	90.6061	105	1
23.7976	90.6082	80	110
23.788	90.6105	30	1
23.7892	90.6099	30	1
23.7874	90.6098	25	1
23.7885	90.6106	25	1
23.7877	90.6114	30	1
23.7879	90.6114	30	1
23.7884	90.6116	35	1
23.7884	90.6115	30	3
23.7882	90.6114	30	1
23.7892	90.615	35	7
23.7899	90.6156	25	50
23.79	90.6157	25	37
23.7912	90.6144	170	3
23.7924	90.6145	35	7
23.7919	90.6149	148	1
23.792	90.615	145	9
23.7922	90.6149	192	9
23.7822	90.6118	45	416
23.7782	90.6007	195	32
23.7788	90.6005	145	1
23.7781	90.6	130	1
23.7777	90.599	165	1
23.7778	90.5989	60	295
23.7774	90.5987	120	1
23.778	90.5988	130	1
23.778	90.5988	60	306
23.7744	90.5939	70	161
23.7719	90.5917	45	241
23.7705	90.5908	65	151
23.7711	90.588	225	32
23.7709	90.5886	35	90
23.7688	90.5945	65	90
23.7688	90.5948	55	77
23.7692	90.5947	60	92
23.7646	90.6009	120	74
23.7646	90.6012	45	74
23.7647	90.6013	65	82
23.7641	90.6017	72	268
23.7904	90.6365	45	282
23.7903	90.6362	60	247
23.7901	90.6363	50	111
23.7904	90.6366	45	261
23.7897	90.6366	60	447
23.7878	90.6007	130	1
23.7878	90.6008	130	1
23.8016	90.6307	180	9
23.8021	90.6309	160	2
23.802	90.6313	45	6
23.8028	90.6322	45	8
23.8032	90.6326	50	9
23.7847	90.6015	135	1
23.7852	90.6016	135	1
23.7852	90.6013	120	1
23.7853	90.6017	135	1
23.7882	90.6078	150	1
23.7883	90.6079	125	1
23.7888	90.6081	45	40
23.7891	90.6084	160	4
23.778	90.6039	145	15
23.7784	90.6039	135	15
23.7779	90.6037	130	17
23.7781	90.6031	175	15
23.778	90.6031	75	498
23.7749	90.5933	60	105
23.7745	90.5927	60	294
23.7704	90.587	120	54
23.7693	90.587	125	71
23.7677	90.5855	45	283
23.7654	90.5924	45	142
23.7647	90.5925	45	174
23.7646	90.5925	45	301
23.7902	90.6316	45	226
23.7933	90.6229	50	1
23.7651	90.6294	80	163
23.7665	90.6293	25	131
23.8012	90.6105	195	1
23.7662	90.631	70	50
23.7662	90.6312	70	49
23.79	90.6459	45	34
23.7898	90.6462	90	86
23.7898	90.6462	50	38
23.7902	90.6466	60	68
23.7981	90.6468	45	212
23.7952	90.6517	40	52
23.7988	90.6489	50	60
23.799	90.6487	30	42
23.793	90.6599	35	78
23.7926	90.6611	70	140
23.7927	90.6612	40	12
23.7931	90.6614	40	134
23.7924	90.66	85	178
23.7932	90.6613	45	116
23.7964	90.6606	40	96
23.7937	90.6607	40	127
23.7944	90.6575	55	113
23.794	90.6588	60	173
23.7954	90.6598	35	80
23.7953	90.6595	40	90
23.7967	90.6612	45	51
23.7966	90.6617	45	69
23.7827	90.6487	75	49
23.7831	90.6488	75	256
23.7832	90.6489	85	341
23.7831	90.6487	60	47
23.7817	90.6471	60	46
23.7992	90.6494	50	155
23.7994	90.6492	50	54
23.7993	90.6498	50	89
23.7741	90.6377	75	255
23.772	90.6355	45	18
23.7719	90.6357	45	26
23.7719	90.6358	35	38
23.7718	90.6355	40	78
23.7719	90.6354	35	32
23.7739	90.6389	45	108
23.7658	90.6317	45	108
23.7676	90.635	60	307
23.7673	90.636	150	1
23.7678	90.6376	90	105
23.7663	90.6376	65	78
23.7699	90.635	35	372
23.7635	90.6304	170	2
23.7637	90.6326	42	110
23.7982	90.6475	46	126
23.798	90.6471	45	95
23.7981	90.6475	45	120
23.7888	90.6522	50	232
23.7797	90.618	30	71
23.7795	90.6177	55	116
23.7978	90.6472	60	100
23.7827	90.6367	40	109
23.7829	90.6367	45	74
23.7806	90.6166	60	31
23.7809	90.6169	35	23
23.78	90.6071	70	469
23.789	90.6362	60	159
23.7795	90.6319	72	93
23.7699	90.6244	60	522
23.77	90.6242	50	172
23.79	90.6261	40	399
23.791	90.6264	50	95
23.7908	90.6265	40	189
23.79	90.6151	45	149
23.7818	90.611	40	148
23.7823	90.6111	35	97
23.7891	90.6116	25	1
23.7649	90.6007	50	149
23.7705	90.5866	60	109
23.7678	90.5855	60	245
23.7654	90.5927	45	516
23.7901	90.646	45	93
23.7949	90.6515	40	48
23.7955	90.6515	30	172
23.7658	90.6312	60	175
23.7656	90.6315	45	624
23.7644	90.6303	30	254

